name,genre,year,gross,released2,Release,Opening,TotalGross,Date,Distributor
The Secret Life of Pets,Animation,2016,875458631.0,2016-07-08,The Secret Life of Pets,104352905.0,368384330.0,2016-07-08,Universal Pictures
Finding Dory,Animation,2016,1028570942.0,2016-06-17,Finding Dory,135060273.0,486295561.0,2016-06-17,Walt Disney Studios Motion Pictures
The Angry Birds Movie,Animation,2016,352333929.0,2016-05-20,The Angry Birds Movie,38155177.0,107509366.0,2016-05-20,Sony Pictures Entertainment (SPE)
Zootopia,Animation,2016,1024121104.0,2016-03-04,Zootopia,75063401.0,341268248.0,2016-03-04,Walt Disney Studios Motion Pictures
Kung Fu Panda 3,Animation,2016,521170825.0,2016-01-29,Kung Fu Panda 3,41282042.0,143528619.0,2016-01-29,Twentieth Century Fox
The Good Dinosaur,Animation,2015,332207671.0,2015-11-25,The Good Dinosaur,39155217.0,123087120.0,2015-11-25,Walt Disney Studios Motion Pictures
The Peanuts Movie,Animation,2015,246233113.0,2015-11-06,The Peanuts Movie,44213073.0,130178411.0,2015-11-06,Twentieth Century Fox
Hotel Transylvania 2,Animation,2015,474800000.0,2015-09-25,Hotel Transylvania 2,48464322.0,169700110.0,2015-09-25,Sony Pictures Entertainment (SPE)
Minions,Animation,2015,1159444662.0,2015-07-10,Minions,115718405.0,336045770.0,2015-07-10,Universal Pictures
Inside Out,Animation,2015,858848019.0,2015-06-19,Inside Out,90440272.0,356461711.0,2015-06-19,Walt Disney Studios Motion Pictures
Home,Animation,2015,386041607.0,2015-03-27,Home,52107731.0,177397510.0,2015-03-27,Twentieth Century Fox
The SpongeBob Movie: Sponge Out of Water,Animation,2015,325186032.0,2015-02-06,The SpongeBob Movie: Sponge Out of Water,55365012.0,162994032.0,2015-02-06,Paramount Pictures
Penguins of Madagascar,Animation,2014,373515621.0,2014-11-26,Penguins of Madagascar,25447444.0,83850911.0,2014-11-26,Twentieth Century Fox
Big Hero 6,Animation,2014,657869686.0,2014-11-07,Big Hero 6,56215889.0,222527828.0,2014-11-07,Walt Disney Studios Motion Pictures
How to Train Your Dragon 2,Animation,2014,621537519.0,2014-06-13,How to Train Your Dragon 2,49451322.0,177002924.0,2014-06-13,Twentieth Century Fox
Rio 2,Animation,2014,498781117.0,2014-04-11,Rio 2,39327869.0,131538435.0,2014-04-11,Twentieth Century Fox
Mr. Peabody & Sherman,Animation,2014,275698039.0,2014-03-07,Mr. Peabody & Sherman,32207057.0,111506430.0,2014-03-07,Twentieth Century Fox
The Lego Movie,Animation,2014,468060692.0,2014-02-07,The Lego Movie,69050279.0,257760692.0,2014-02-07,Warner Bros.
Rocketman,Biography,2019,195179299.0,2019-05-31,Rocketman,25725722.0,96368160.0,2019-05-31,Paramount Pictures
Bohemian Rhapsody,Biography,2018,911902649.0,2018-11-02,Bohemian Rhapsody,51061119.0,216428042.0,2018-11-02,Twentieth Century Fox
All Eyez on Me,Biography,2017,55668698.0,2017-06-16,All Eyez on Me,26435354.0,44922302.0,2017-06-16,Lions Gate Films
Sully,Biography,2016,240797623.0,2016-09-09,Sully,35028301.0,125070033.0,2016-09-09,Warner Bros.
Black Mass,Biography,2015,99775678.0,2015-09-18,Black Mass,22635037.0,62575678.0,2015-09-18,Warner Bros.
