Release,Opening,Total Gross,% of Total,Theaters,Average,Date,Distributor
The Texas Chainsaw Massacre,"$29,100,000 ","$80,571,655 ",36.10%,"3,016","$9,648 ",10/17/2003,New Line Cinema
Spy,"$29,085,719 ","$110,825,712 ",26.20%,"3,711","$7,837 ",6/5/2015,Twentieth Century Fox
Terminator: Dark Fate,"$29,033,832 ","$62,253,077 ",46.60%,"4,086","$7,105 ",11/1/2019,Paramount Pictures
Allegiant,"$29,027,348 ","$66,184,051 ",43.90%,"3,740","$7,761 ",3/18/2016,Lions Gate Films
Doctor Dolittle,"$29,014,324 ","$144,156,605 ",20.10%,"2,777","$10,448 ",6/26/1998,Twentieth Century Fox
The Santa Clause 2,"$29,008,696 ","$139,236,327 ",20.80%,"3,350","$8,659 ",11/1/2002,Walt Disney Studios Motion Pictures
Paranormal Activity 4,"$29,003,866 ","$53,885,000 ",53.80%,"3,412","$8,500 ",10/19/2012,Paramount Pictures
Jackass Number Two,"$29,002,002 ","$72,778,712 ",39.80%,"3,059","$9,480 ",9/22/2006,Paramount Pictures
Inside Man,"$28,954,945 ","$88,513,495 ",32.70%,"2,818","$10,274 ",3/24/2006,Universal Pictures
Cast Away,"$28,883,406 ","$233,632,142 ",12.40%,"2,774","$10,412 ",12/22/2000,Twentieth Century Fox
Non-Stop,"$28,875,635 ","$92,168,600 ",31.30%,"3,090","$9,344 ",2/28/2014,Universal Pictures
Miss Peregrine's Home for Peculiar Children,"$28,871,140 ","$87,242,834 ",33.10%,"3,522","$8,197 ",9/30/2016,Twentieth Century Fox
Edge of Tomorrow,"$28,760,246 ","$100,206,256 ",28.70%,"3,490","$8,240 ",6/6/2014,Warner Bros.
Murder on the Orient Express,"$28,681,472 ","$102,826,543 ",27.90%,"3,341","$8,584 ",11/10/2017,Twentieth Century Fox
Titanic,"$28,638,131 ","$600,683,057 ",4.80%,"2,674","$10,709 ",12/19/1997,Paramount Pictures
Meet the Parents,"$28,623,300 ","$166,244,045 ",17.20%,"2,614","$10,950 ",10/6/2000,Universal Pictures
Obsessed,"$28,612,730 ","$68,261,644 ",41.90%,"2,514","$11,381 ",4/24/2009,Screen Gems
The Expendables 2,"$28,591,370 ","$85,028,192 ",33.60%,"3,316","$8,622 ",8/17/2012,Lions Gate Films
Alita: Battle Angel,"$28,525,613 ","$85,838,210 ",33.20%,"3,790","$7,526 ",2/14/2019,Twentieth Century Fox
Boo! A Madea Halloween,"$28,501,448 ","$73,206,343 ",38.90%,"2,260","$12,611 ",10/21/2016,Lions Gate Films
Anchorman: The Legend of Ron Burgundy,"$28,416,365 ","$85,288,303 ",33.30%,"3,091","$9,193 ",7/9/2004,DreamWorks Distribution
Mama,"$28,402,310 ","$71,628,180 ",39.60%,"2,647","$10,730 ",1/18/2013,Universal Pictures
Free Guy,"$28,365,416 ","$121,626,598 ",23.30%,"4,165","$6,810 ",8/13/2021,20th Century Studios
Nacho Libre,"$28,309,599 ","$80,197,993 ",35.30%,"3,070","$9,221 ",6/16/2006,Paramount Pictures
Horrible Bosses,"$28,302,165 ","$117,538,559 ",24.10%,"3,040","$9,309 ",7/8/2011,Warner Bros.
The Invisible Man,"$28,205,665 ","$70,410,000 ",40.10%,"3,610","$7,813 ",2/28/2020,Universal Pictures
Erin Brockovich,"$28,138,465 ","$125,595,205 ",22.40%,"2,848","$9,880 ",3/17/2000,Universal Pictures
Pacific Rim: Uprising,"$28,116,535 ","$59,874,525 ",47%,"3,708","$7,582 ",3/23/2018,Universal Pictures
Starsky & Hutch,"$28,103,367 ","$88,237,754 ",31.80%,"3,185","$8,823 ",3/5/2004,Warner Bros.
Sin City,"$28,100,000 ","$74,103,820 ",37.90%,"3,230","$8,699 ",4/1/2005,Dimension Films
Teenage Mutant Ninja Turtles: Mutant Mayhem,"$28,007,544 ","$118,613,586 ",23.60%,"3,858","$7,259 ",8/2/2023,Paramount Pictures
Back to the Future Part II,"$27,835,125 ","$118,450,002 ",23.50%,"1,865","$14,925 ",11/22/1989,Universal Pictures
Hairspray,"$27,800,000 ","$118,871,849 ",23.40%,"3,121","$8,907 ",7/20/2007,New Line Cinema
The Matrix,"$27,788,331 ","$171,479,930 ",16.20%,"2,849","$9,753 ",3/31/1999,Warner Bros.
He's Just Not That Into You,"$27,785,487 ","$93,953,653 ",29.60%,"3,175","$8,751 ",2/6/2009,Warner Bros.
Mamma Mia!,"$27,751,240 ","$144,130,063 ",19.20%,"2,976","$9,325 ",7/18/2008,Universal Pictures
Big Momma's House 2,"$27,736,056 ","$70,165,972 ",39.50%,"3,261","$8,505 ",1/27/2006,Twentieth Century Fox
Jarhead,"$27,726,210 ","$62,658,220 ",44.20%,"2,411","$11,499 ",11/4/2005,Universal Pictures
Along Came Polly,"$27,721,185 ","$88,097,164 ",31.50%,"2,984","$9,289 ",1/16/2004,Universal Pictures
Wild Wild West,"$27,687,484 ","$113,804,681 ",24.30%,"3,342","$8,284 ",6/30/1999,Warner Bros.
Daddy Day Care,"$27,623,580 ","$104,297,061 ",26.50%,"3,370","$8,196 ",5/9/2003,Revolution Studios
The Ugly Truth,"$27,605,576 ","$88,915,214 ",31%,"2,882","$9,578 ",7/24/2009,Sony Pictures Entertainment (SPE)
Cheaper by the Dozen,"$27,557,647 ","$138,614,544 ",19.90%,"3,298","$8,355 ",12/25/2003,Twentieth Century Fox
Wonder,"$27,547,866 ","$132,422,809 ",20.80%,"3,096","$8,897 ",11/17/2017,Lions Gate Films
The Devil Wears Prada,"$27,537,244 ","$124,740,460 ",22.10%,"2,847","$9,672 ",6/30/2006,Twentieth Century Fox
Space Jam,"$27,528,529 ","$90,418,342 ",30.40%,"2,650","$10,388 ",11/15/1996,Warner Bros.
After Earth,"$27,520,040 ","$60,522,097 ",45.50%,"3,401","$8,091 ",5/31/2013,Sony Pictures Entertainment (SPE)
Beowulf,"$27,515,871 ","$82,280,579 ",33.40%,"3,153","$8,726 ",11/16/2007,Paramount Pictures
42,"$27,487,144 ","$95,020,213 ",28.90%,"3,003","$9,153 ",4/12/2013,Warner Bros.
Bedtime Stories,"$27,450,296 ","$110,101,975 ",24.90%,"3,681","$7,457 ",12/25/2008,Walt Disney Studios Motion Pictures
The Final Destination,"$27,408,309 ","$66,477,700 ",41.20%,"3,121","$8,781 ",8/28/2009,Warner Bros.
Jumper,"$27,354,808 ","$80,172,128 ",34.10%,"3,428","$7,979 ",2/14/2008,Twentieth Century Fox
Journey 2: The Mysterious Island,"$27,335,363 ","$103,860,290 ",26.30%,"3,470","$7,877 ",2/10/2012,Warner Bros.
The Rugrats Movie,"$27,321,470 ","$100,494,675 ",27.20%,"2,782","$9,820 ",11/20/1998,Paramount Pictures
Real Steel,"$27,319,677 ","$85,468,508 ",32%,"3,440","$7,941 ",10/7/2011,Walt Disney Studios Motion Pictures
Les Misérables,"$27,281,735 ","$148,809,770 ",18.30%,"2,814","$9,695 ",12/25/2012,Universal Pictures
Night School,"$27,257,615 ","$77,339,130 ",35.20%,"3,010","$9,055 ",9/28/2018,Universal Pictures
Encanto,"$27,206,494 ","$96,093,622 ",28.30%,"3,980","$6,835 ",11/24/2021,Walt Disney Studios Motion Pictures
Jack the Giant Slayer,"$27,202,226 ","$65,187,603 ",41.70%,"3,525","$7,716 ",3/1/2013,Warner Bros.
The Bourne Identity,"$27,118,640 ","$121,661,683 ",22.30%,"2,638","$10,280 ",6/14/2002,Universal Pictures
A Madea Family Funeral,"$27,062,332 ","$73,257,045 ",36.90%,"2,442","$11,082 ",3/1/2019,Lions Gate Films
2 Guns,"$27,059,130 ","$75,612,460 ",35.80%,"3,025","$8,945 ",8/2/2013,Universal Pictures
Terminator Genisys,"$27,018,486 ","$89,760,956 ",30.10%,"3,758","$7,189 ",7/1/2015,Paramount Pictures
Ender's Game,"$27,017,351 ","$61,737,191 ",43.80%,"3,407","$7,929 ",11/1/2013,Lions Gate Films
The Departed,"$26,887,467 ","$132,384,315 ",20.30%,"3,017","$8,911 ",10/6/2006,Warner Bros.
Alice Through the Looking Glass,"$26,858,726 ","$77,041,381 ",34.90%,"3,763","$7,137 ",5/27/2016,Walt Disney Studios Motion Pictures
Underworld: Evolution,"$26,857,181 ","$62,318,875 ",43.10%,"3,207","$8,374 ",1/20/2006,Screen Gems
The Curious Case of Benjamin Button,"$26,853,816 ","$127,509,326 ",21.10%,"2,988","$8,987 ",12/25/2008,Paramount Pictures
Zombieland: Double Tap,"$26,803,104 ","$73,123,082 ",36.60%,"3,468","$7,728 ",10/18/2019,Sony Pictures Entertainment (SPE)
Knives Out,"$26,769,548 ","$165,363,234 ",16.20%,"3,461","$7,734 ",11/27/2019,Lions Gate Films
Flubber,"$26,725,207 ","$92,977,226 ",28.70%,"2,641","$10,119 ",11/26/1997,Walt Disney Studios Motion Pictures
Dawn of the Dead,"$26,722,575 ","$59,020,957 ",45.30%,"2,745","$9,735 ",3/19/2004,Universal Pictures
The Sixth Sense,"$26,681,262 ","$293,506,292 ",9.10%,"2,161","$12,346 ",8/6/1999,Walt Disney Studios Motion Pictures
Resident Evil: Afterlife,"$26,650,264 ","$60,128,566 ",44.30%,"3,203","$8,320 ",9/10/2010,Screen Gems
The House with a Clock in Its Walls,"$26,608,020 ","$68,549,695 ",38.80%,"3,592","$7,407 ",9/21/2018,Universal Pictures
The Campaign,"$26,588,460 ","$86,907,746 ",30.60%,"3,205","$8,295 ",8/10/2012,Warner Bros.
Spy Kids,"$26,546,881 ","$112,719,001 ",23.60%,"3,104","$8,552 ",3/30/2001,Miramax
The Pursuit of Happyness,"$26,541,709 ","$163,566,459 ",16.20%,"2,852","$9,306 ",12/15/2006,Sony Pictures Entertainment (SPE)
Crazy Rich Asians,"$26,510,140 ","$174,532,921 ",15.20%,"3,384","$7,833 ",8/15/2018,Warner Bros.
The Exorcist: Believer,"$26,497,600 ","$65,537,395 ",40.40%,"3,663","$7,233 ",10/6/2023,Universal Pictures
Borat,"$26,455,463 ","$128,505,958 ",20.60%,837,"$31,607 ",11/3/2006,Twentieth Century Fox
All Eyez on Me,"$26,435,354 ","$44,922,302 ",58.80%,"2,471","$10,698 ",6/16/2017,Lions Gate Films
We're the Millers,"$26,419,396 ","$150,394,119 ",17.60%,"3,260","$8,104 ",8/7/2013,Warner Bros.
Hollow Man,"$26,414,386 ","$73,209,340 ",36.10%,"2,956","$8,935 ",8/4/2000,Sony Pictures Entertainment (SPE)
Don't Breathe,"$26,411,706 ","$89,217,875 ",29.60%,"3,051","$8,656 ",8/26/2016,Screen Gems
Halloween,"$26,362,367 ","$58,272,029 ",45.20%,"3,472","$7,592 ",8/31/2007,-
Beverly Hills Cop II,"$26,348,555 ","$153,665,036 ",17.20%,"2,326","$11,327 ",5/20/1987,Paramount Pictures
The Curse of La Llorona,"$26,347,631 ","$54,733,739 ",48.10%,"3,372","$7,813 ",4/19/2019,Warner Bros.
Bridesmaids,"$26,247,410 ","$169,106,725 ",15.50%,"2,918","$8,995 ",5/13/2011,Universal Pictures
Anchorman 2: The Legend Continues,"$26,232,425 ","$125,168,368 ",21%,"3,507","$7,480 ",12/18/2013,Paramount Pictures
Bolt,"$26,223,128 ","$114,053,579 ",23%,"3,651","$7,182 ",11/21/2008,Walt Disney Studios Motion Pictures
The Suicide Squad,"$26,205,415 ","$55,817,425 ",47%,"4,002","$6,548 ",8/6/2021,Warner Bros.
GoldenEye,"$26,205,007 ","$106,429,941 ",24.60%,"2,667","$9,825 ",11/17/1995,Metro-Goldwyn-Mayer (MGM)
The Golden Compass,"$26,125,000 ","$70,107,728 ",37.30%,"3,528","$7,405 ",12/7/2007,New Line Cinema
The Help,"$26,044,590 ","$169,708,112 ",15.40%,"2,534","$10,278 ",8/10/2011,Walt Disney Studios Motion Pictures
Happy Death Day,"$26,039,025 ","$55,683,845 ",46.80%,"3,149","$8,268 ",10/13/2017,Universal Pictures
The Perfect Guy,"$25,888,154 ","$57,027,435 ",45.40%,"2,221","$11,656 ",9/11/2015,Screen Gems
True Lies,"$25,869,770 ","$146,282,411 ",17.70%,"2,368","$10,924 ",7/15/1994,Twentieth Century Fox
Tropic Thunder,"$25,812,796 ","$110,515,313 ",23.40%,"3,319","$7,777 ",8/13/2008,DreamWorks
Evil Dead,"$25,775,847 ","$54,239,856 ",47.50%,"3,025","$8,520 ",4/5/2013,TriStar Pictures
Rocketman,"$25,725,722 ","$96,368,160 ",26.70%,"3,610","$7,126 ",5/31/2019,Paramount Pictures
Miami Vice,"$25,723,815 ","$63,450,470 ",40.50%,"3,021","$8,515 ",7/28/2006,Universal Pictures
Captain Phillips,"$25,718,314 ","$107,100,855 ",24%,"3,020","$8,515 ",10/11/2013,Sony Pictures Entertainment (SPE)
Fantastic Four,"$25,685,737 ","$56,117,548 ",45.80%,"3,995","$6,429 ",8/7/2015,Twentieth Century Fox
The A-Team,"$25,669,455 ","$77,222,099 ",33.20%,"3,535","$7,261 ",6/11/2010,Twentieth Century Fox
Big Momma's House,"$25,661,041 ","$117,559,438 ",21.80%,"2,802","$9,158 ",6/2/2000,Twentieth Century Fox
About Last Night,"$25,649,011 ","$48,637,684 ",52.70%,"2,253","$11,384 ",2/14/2014,Screen Gems
V for Vendetta,"$25,642,340 ","$70,511,035 ",36.40%,"3,365","$7,620 ",3/17/2006,Warner Bros.
Robin Hood: Prince of Thieves,"$25,625,602 ","$165,493,908 ",15.50%,"2,369","$10,817 ",6/14/1991,Warner Bros.
Son of God,"$25,601,865 ","$59,700,064 ",42.90%,"3,260","$7,853 ",2/28/2014,Twentieth Century Fox
Kill Bill: Vol. 2,"$25,600,000 ","$66,208,183 ",38.70%,"2,971","$8,616 ",4/16/2004,Miramax
Total Recall,"$25,577,758 ","$58,877,969 ",43.40%,"3,601","$7,102 ",8/3/2012,Sony Pictures Entertainment (SPE)
Battleship,"$25,534,825 ","$65,422,625 ",39%,"3,690","$6,920 ",5/18/2012,Universal Pictures
Total Recall,"$25,533,700 ","$119,394,840 ",21.40%,"2,060","$12,395 ",6/1/1990,Sony Pictures Entertainment (SPE)
Penguins of Madagascar,"$25,447,444 ","$83,850,911 ",30.40%,"3,764","$6,760 ",11/26/2014,Twentieth Century Fox
The Visit,"$25,427,560 ","$65,206,105 ",39%,"3,069","$8,285 ",9/11/2015,Universal Pictures
The Nutty Professor,"$25,411,725 ","$128,814,019 ",19.70%,"2,115","$12,015 ",6/28/1996,Universal Pictures
The Firm,"$25,400,000 ","$158,348,367 ",16%,"2,393","$10,614 ",7/2/1993,Paramount Pictures
Teenage Mutant Ninja Turtles,"$25,398,367 ","$135,265,915 ",18.80%,"2,006","$12,661 ",3/30/1990,New Line Cinema
Madea's Witness Protection,"$25,390,575 ","$65,653,242 ",38.70%,"2,161","$11,749 ",6/29/2012,Lions Gate Films
Gnomeo & Juliet,"$25,356,909 ","$99,967,670 ",25.40%,"2,994","$8,469 ",2/11/2011,Walt Disney Studios Motion Pictures
Apollo 13,"$25,353,380 ","$172,071,312 ",14.70%,"2,197","$11,540 ",6/30/1995,Universal Pictures
Indiana Jones and the Temple of Doom,"$25,337,110 ","$179,870,271 ",14.10%,"1,687","$15,019 ",5/23/1984,Paramount Pictures
Gone in 60 Seconds,"$25,336,048 ","$101,648,571 ",24.90%,"3,006","$8,428 ",6/9/2000,Walt Disney Studios Motion Pictures
Underworld: Awakening,"$25,306,725 ","$62,321,039 ",40.60%,"3,078","$8,221 ",1/20/2012,Screen Gems
Public Enemies,"$25,271,675 ","$97,104,620 ",26%,"3,334","$7,579 ",7/1/2009,Universal Pictures
Patch Adams,"$25,262,280 ","$135,026,902 ",18.70%,"2,712","$9,315 ",12/25/1998,Universal Pictures
Date Night,"$25,207,599 ","$98,711,404 ",25.50%,"3,374","$7,471 ",4/9/2010,Twentieth Century Fox
Tomorrow Never Dies,"$25,143,007 ","$125,304,276 ",20.10%,"2,807","$8,957 ",12/19/1997,Metro-Goldwyn-Mayer (MGM)
Meet the Robinsons,"$25,123,781 ","$97,822,171 ",25.70%,"3,413","$7,361 ",3/30/2007,Walt Disney Studios Motion Pictures
Master and Commander: The Far Side of the World,"$25,105,990 ","$93,927,920 ",26.70%,"3,101","$8,096 ",11/14/2003,Twentieth Century Fox
The Rock,"$25,069,525 ","$134,069,511 ",18.70%,"2,392","$10,480 ",6/7/1996,Walt Disney Studios Motion Pictures
Madea's Big Happy Family,"$25,068,677 ","$53,345,287 ",47%,"2,288","$10,956 ",4/22/2011,Lions Gate Films
Dr. Dolittle 2,"$25,037,039 ","$112,952,899 ",22.20%,"3,049","$8,211 ",6/22/2001,Twentieth Century Fox
Blue Beetle,"$25,030,225 ","$72,488,072 ",34.50%,"3,871","$6,466 ",8/18/2023,Warner Bros.
Vanilla Sky,"$25,015,518 ","$100,618,344 ",24.90%,"2,742","$9,123 ",12/14/2001,Paramount Pictures
Peter Rabbit,"$25,010,928 ","$115,253,424 ",21.70%,"3,725","$6,714 ",2/9/2018,Sony Pictures Entertainment (SPE)
Jack and Jill,"$25,003,575 ","$74,158,157 ",33.70%,"3,438","$7,272 ",11/11/2011,Sony Pictures Entertainment (SPE)
Skyscraper,"$24,905,015 ","$68,420,120 ",36.40%,"3,782","$6,585 ",7/13/2018,Universal Pictures
Flight,"$24,900,566 ","$93,772,375 ",26.60%,"1,884","$13,216 ",11/2/2012,Paramount Pictures
White House Down,"$24,852,258 ","$73,103,784 ",34%,"3,222","$7,713 ",6/28/2013,Sony Pictures Entertainment (SPE)
A Good Day to Die Hard,"$24,834,845 ","$67,349,198 ",36.90%,"3,553","$6,989 ",2/14/2013,Twentieth Century Fox
True Grit,"$24,830,443 ","$171,243,005 ",14.50%,"3,047","$8,149 ",12/22/2010,Paramount Pictures
The Call of the Wild,"$24,791,624 ","$62,342,368 ",39.80%,"3,752","$6,607 ",2/21/2020,20th Century Studios
The Other Woman,"$24,763,752 ","$83,911,193 ",29.50%,"3,205","$7,726 ",4/25/2014,Twentieth Century Fox
Predators,"$24,760,882 ","$52,000,688 ",47.60%,"2,669","$9,277 ",7/9/2010,Twentieth Century Fox
Zombieland,"$24,733,155 ","$75,590,286 ",32.70%,"3,036","$8,146 ",10/2/2009,Sony Pictures Entertainment (SPE)
10 Cloverfield Lane,"$24,727,437 ","$72,082,998 ",34.30%,"3,391","$7,292 ",3/11/2016,Paramount Pictures
Taken,"$24,717,037 ","$145,000,989 ",17%,"3,183","$7,765 ",1/30/2009,Twentieth Century Fox
The Accountant,"$24,710,273 ","$86,260,045 ",28.60%,"3,332","$7,416 ",10/14/2016,Warner Bros.
Collateral,"$24,701,458 ","$101,005,703 ",24.50%,"3,188","$7,748 ",8/6/2004,DreamWorks Distribution
Congo,"$24,642,539 ","$81,022,101 ",30.40%,"2,649","$9,302 ",6/9/1995,Paramount Pictures
The Butler,"$24,637,312 ","$116,632,095 ",21.10%,"2,933","$8,400 ",8/16/2013,The Weinstein Company
The Predator,"$24,632,284 ","$51,024,708 ",48.30%,"4,037","$6,101 ",9/14/2018,Twentieth Century Fox
Flightplan,"$24,629,938 ","$89,707,299 ",27.50%,"3,424","$7,193 ",9/23/2005,Walt Disney Studios Motion Pictures
Knowing,"$24,604,751 ","$79,957,634 ",30.80%,"3,332","$7,384 ",3/20/2009,Summit Entertainment
Christopher Robin,"$24,585,139 ","$99,215,042 ",24.80%,"3,602","$6,825 ",8/3/2018,Walt Disney Studios Motion Pictures
Eraser,"$24,566,446 ","$101,295,562 ",24.20%,"2,410","$10,193 ",6/21/1996,Warner Bros.
The Girl on the Train,"$24,536,265 ","$75,395,035 ",32.50%,"3,144","$7,804 ",10/7/2016,Universal Pictures
The Emoji Movie,"$24,531,923 ","$86,089,513 ",28.50%,"4,075","$6,020 ",7/28/2017,Sony Pictures Entertainment (SPE)
Evil Dead Rise,"$24,504,315 ","$67,233,054 ",36.40%,"3,402","$7,202 ",4/21/2023,Warner Bros.
Pet Sematary,"$24,502,775 ","$54,724,696 ",44.80%,"3,585","$6,834 ",4/5/2019,Paramount Pictures
Act of Valor,"$24,476,632 ","$70,012,847 ",35%,"3,039","$8,054 ",2/24/2012,Relativity Media
Forrest Gump,"$24,450,602 ","$329,694,499 ",7.40%,"1,595","$15,329 ",7/6/1994,Paramount Pictures
Mean Girls,"$24,432,195 ","$86,058,055 ",28.40%,"2,839","$8,605 ",4/30/2004,Paramount Pictures
Failure to Launch,"$24,411,322 ","$88,715,192 ",27.50%,"3,057","$7,985 ",3/10/2006,Paramount Pictures
Race to Witch Mountain,"$24,402,214 ","$67,172,594 ",36.30%,"3,187","$7,656 ",3/13/2009,Walt Disney Studios Motion Pictures
Contraband,"$24,349,815 ","$66,528,000 ",36.60%,"2,863","$8,505 ",1/13/2012,Universal Pictures
The Chronicles of Riddick,"$24,289,165 ","$57,761,012 ",42%,"2,757","$8,809 ",6/11/2004,Universal Pictures
The Haunted Mansion,"$24,278,410 ","$75,847,266 ",32%,"3,122","$7,776 ",11/26/2003,Walt Disney Studios Motion Pictures
The Last Samurai,"$24,271,354 ","$111,127,263 ",21.80%,"2,908","$8,346 ",12/5/2003,Warner Bros.
TMNT,"$24,255,205 ","$54,149,098 ",44.80%,"3,110","$7,799 ",3/23/2007,Warner Bros.
No Good Deed,"$24,250,283 ","$52,543,632 ",46.20%,"2,175","$11,149 ",9/12/2014,Screen Gems
Barbershop 2: Back in Business,"$24,241,612 ","$65,111,277 ",37.20%,"2,711","$8,941 ",2/6/2004,Metro-Goldwyn-Mayer (MGM)
"Me, Myself & Irene","$24,209,385 ","$90,570,999 ",26.70%,"3,019","$8,019 ",6/23/2000,Twentieth Century Fox
The Addams Family,"$24,203,754 ","$113,502,426 ",21.30%,"2,411","$10,038 ",11/22/1991,Paramount Pictures
Coach Carter,"$24,182,961 ","$67,264,877 ",36%,"2,524","$9,581 ",1/14/2005,Paramount Pictures
Maze Runner: The Death Cure,"$24,167,011 ","$58,032,443 ",41.60%,"3,787","$6,381 ",1/26/2018,Twentieth Century Fox
Warcraft,"$24,166,110 ","$47,365,290 ",51%,"3,400","$7,107 ",6/10/2016,Universal Pictures
Con Air,"$24,131,738 ","$101,117,573 ",23.90%,"2,824","$8,545 ",6/6/1997,Walt Disney Studios Motion Pictures
Exodus: Gods and Kings,"$24,115,934 ","$65,014,513 ",37.10%,"3,503","$6,884 ",12/12/2014,Twentieth Century Fox
White Noise,"$24,113,565 ","$56,386,759 ",42.80%,"2,261","$10,665 ",1/7/2005,Universal Pictures
21,"$24,105,943 ","$81,159,365 ",29.70%,"2,648","$9,103 ",3/28/2008,Sony Pictures Entertainment (SPE)
The Conjuring: The Devil Made Me Do It,"$24,104,332 ","$65,631,050 ",36.70%,"3,102","$7,770 ",6/4/2021,Warner Bros.
Haunted Mansion,"$24,082,475 ","$67,653,287 ",35.60%,"3,740","$6,439 ",7/28/2023,Walt Disney Studios Motion Pictures
Arrival,"$24,074,047 ","$100,546,139 ",23.90%,"2,317","$10,390 ",11/11/2016,Paramount Pictures
Tower Heist,"$24,025,190 ","$78,046,570 ",30.80%,"3,367","$7,135 ",11/4/2011,Universal Pictures
Pixels,"$24,011,616 ","$78,747,585 ",30.50%,"3,723","$6,449 ",7/24/2015,Sony Pictures Entertainment (SPE)
The Chronicles of Narnia: The Voyage of the Dawn Treader,"$24,005,069 ","$104,386,950 ",23%,"3,555","$6,752 ",12/10/2010,Twentieth Century Fox
Monster-in-Law,"$24,000,000 ","$82,931,301 ",28.90%,"3,424","$7,009 ",5/13/2005,New Line Cinema
The Fast and the Furious: Tokyo Drift,"$23,973,840 ","$62,514,415 ",38.40%,"3,027","$7,920 ",6/16/2006,Universal Pictures
The Bad Guys,"$23,950,245 ","$97,233,630 ",24.60%,"4,008","$5,975 ",4/22/2022,Universal Pictures
Fahrenheit 9/11,"$23,920,637 ","$119,194,771 ",20.10%,868,"$27,558 ",6/23/2004,Lions Gate Films
Captain Underpants: The First Epic Movie,"$23,851,539 ","$73,921,000 ",32.30%,"3,434","$6,945 ",6/2/2017,Twentieth Century Fox
Bad Moms,"$23,817,340 ","$113,257,297 ",21%,"3,215","$7,408 ",7/29/2016,STX Entertainment
The Town,"$23,808,032 ","$92,186,262 ",25.80%,"2,861","$8,321 ",9/17/2010,Warner Bros.
How to Lose a Guy in 10 Days,"$23,774,850 ","$105,813,373 ",22.50%,"2,923","$8,133 ",2/7/2003,Paramount Pictures
Rise of the Guardians,"$23,773,465 ","$103,412,758 ",23%,"3,653","$6,507 ",11/21/2012,DreamWorks
Paul Blart: Mall Cop 2,"$23,762,435 ","$71,038,190 ",33.40%,"3,633","$6,540 ",4/17/2015,Sony Pictures Entertainment (SPE)
The Fugitive,"$23,758,855 ","$183,875,760 ",12.90%,"2,340","$10,153 ",8/6/1993,Warner Bros.
Diary of a Wimpy Kid: Rodrick Rules,"$23,751,502 ","$52,698,535 ",45.10%,"3,167","$7,499 ",3/25/2011,Twentieth Century Fox
17 Again,"$23,722,310 ","$64,167,069 ",37%,"3,255","$7,287 ",4/17/2009,Warner Bros.
Fury,"$23,702,421 ","$85,817,906 ",27.60%,"3,173","$7,470 ",10/17/2014,Sony Pictures Entertainment (SPE)
Resident Evil: Extinction,"$23,678,580 ","$50,648,679 ",46.80%,"2,828","$8,372 ",9/21/2007,Screen Gems
Tomb Raider,"$23,633,317 ","$58,250,803 ",40.60%,"3,854","$6,132 ",3/16/2018,Warner Bros.
The Black Phone,"$23,633,220 ","$90,123,230 ",26.20%,"3,150","$7,502 ",6/24/2022,Universal Pictures
Open Season,"$23,624,548 ","$85,105,259 ",27.80%,"3,833","$6,163 ",9/29/2006,Sony Pictures Entertainment (SPE)
Goosebumps,"$23,618,556 ","$80,080,379 ",29.50%,"3,501","$6,746 ",10/16/2015,Sony Pictures Entertainment (SPE)
The Boss,"$23,586,645 ","$63,285,885 ",37.30%,"3,480","$6,777 ",4/8/2016,Universal Pictures
Dinner for Schmucks,"$23,527,839 ","$73,026,337 ",32.20%,"2,911","$8,082 ",7/30/2010,DreamWorks
Mary Poppins Returns,"$23,523,121 ","$171,958,438 ",13.70%,"4,090","$5,751 ",12/19/2018,Walt Disney Studios Motion Pictures
Dracula Untold,"$23,514,615 ","$56,280,355 ",41.80%,"2,885","$8,150 ",10/10/2014,Universal Pictures
The Amityville Horror,"$23,507,007 ","$65,233,369 ",36%,"3,323","$7,074 ",4/15/2005,Metro-Goldwyn-Mayer (MGM)
Be Cool,"$23,450,212 ","$56,046,979 ",41.80%,"3,216","$7,291 ",3/4/2005,Metro-Goldwyn-Mayer (MGM)
I Can Do Bad All by Myself,"$23,446,785 ","$51,733,921 ",45.30%,"2,255","$10,397 ",9/11/2009,Lions Gate Films
Save the Last Dance,"$23,444,930 ","$91,057,006 ",25.80%,"2,230","$10,513 ",1/12/2001,Paramount Pictures
Once Upon a Time in Mexico,"$23,424,118 ","$56,359,780 ",41.60%,"3,282","$7,137 ",9/12/2003,Sony Pictures Entertainment (SPE)
Face/Off,"$23,387,530 ","$112,276,146 ",20.80%,"2,621","$8,923 ",6/27/1997,Paramount Pictures
The Taking of Pelham 123,"$23,373,102 ","$65,452,312 ",35.70%,"3,074","$7,603 ",6/12/2009,Sony Pictures Entertainment (SPE)
The Polar Express,"$23,323,463 ","$162,775,358 ",14.30%,"3,650","$6,389 ",11/10/2004,Warner Bros.
Mortal Kombat,"$23,302,503 ","$42,326,031 ",55%,"3,073","$7,582 ",4/23/2021,Warner Bros.
Mortal Kombat,"$23,283,887 ","$70,454,098 ",33%,"2,421","$9,617 ",8/18/1995,New Line Cinema
Cocaine Bear,"$23,260,790 ","$64,388,510 ",36.10%,"3,534","$6,582 ",2/24/2023,Universal Pictures
Killers of the Flower Moon,"$23,253,655 ","$66,686,520 ",34.90%,"3,628","$6,409 ",10/20/2023,Paramount Pictures
