Release,Opening,Total Gross,% of Total,Theaters,Average,Date,Distributor
Spider-Man 2,"$88,156,227 ","$373,585,825 ",23.60%,"4,152","$21,232 ",6/30/2004,Sony Pictures Entertainment (SPE)
Fast Five,"$86,198,765 ","$209,837,675 ",41.10%,"3,644","$23,654 ",4/29/2011,Universal Pictures
The Hangover Part II,"$85,946,294 ","$254,464,305 ",33.80%,"3,615","$23,774 ",5/26/2011,Warner Bros.
Thor: The Dark World,"$85,737,841 ","$206,362,140 ",41.60%,"3,841","$22,321 ",11/8/2013,Walt Disney Studios Motion Pictures
X2,"$85,558,731 ","$214,949,694 ",39.80%,"3,741","$22,870 ",5/2/2003,Twentieth Century Fox
Fifty Shades of Grey,"$85,171,450 ","$166,167,230 ",51.30%,"3,646","$23,360 ",2/13/2015,Universal Pictures
Doctor Strange,"$85,058,311 ","$232,641,920 ",36.60%,"3,882","$21,910 ",11/4/2016,Walt Disney Studios Motion Pictures
X-Men Origins: Wolverine,"$85,058,003 ","$179,883,157 ",47.30%,"4,099","$20,750 ",5/1/2009,Twentieth Century Fox
The Hobbit: An Unexpected Journey,"$84,617,303 ","$303,003,568 ",27.90%,"4,045","$20,918 ",12/14/2012,Warner Bros.
Solo: A Star Wars Story,"$84,420,489 ","$213,767,512 ",39.50%,"4,381","$19,269 ",5/25/2018,Walt Disney Studios Motion Pictures
The Passion of the Christ,"$83,848,082 ","$370,274,604 ",22.60%,"3,043","$27,554 ",2/25/2004,Newmarket Films
Despicable Me 2,"$83,517,315 ","$368,065,385 ",22.70%,"3,997","$20,895 ",7/3/2013,Universal Pictures
Oppenheimer,"$82,455,420 ","$325,389,840 ",25.30%,"3,610","$22,840 ",7/21/2023,Universal Pictures
Monsters University,"$82,429,469 ","$268,492,764 ",30.70%,"4,004","$20,586 ",6/21/2013,Walt Disney Studios Motion Pictures
Black Widow,"$80,366,312 ","$183,651,655 ",43.80%,"4,160","$19,318 ",7/9/2021,Walt Disney Studios Motion Pictures
Venom,"$80,255,756 ","$213,515,506 ",37.60%,"4,250","$18,883 ",10/5/2018,Sony Pictures Entertainment (SPE)
Star Wars: Episode II - Attack of the Clones,"$80,027,814 ","$302,191,252 ",26.50%,"3,161","$25,317 ",5/16/2002,Twentieth Century Fox
Five Nights at Freddy's,"$80,001,720 ","$137,038,110 ",58.40%,"3,675","$21,769 ",10/27/2023,Universal Pictures International (UPI)
