name,genre,year,gross,released2
I Can Only Imagine,Biography,2018,86086881.0,2018-03-16
Flower,Comedy,2017,380553.0,2018-03-16
Mary Magdalene,Biography,2018,11710110.0,2018-03-16
"Love, Simon",Comedy,2018,66316289.0,2018-03-16
Tomb Raider,Action,2018,274650803.0,2018-03-16
7 Days in Entebbe,Action,2018,8771432.0,2018-03-16
A Wrinkle in Time,Adventure,2018,132675864.0,2018-03-09
The Strangers: Prey at Night,Horror,2018,31039126.0,2018-03-09
The Death of Stalin,Comedy,2017,24646055.0,2018-03-09
Gringo,Action,2018,11001627.0,2018-03-09
Thoroughbreds,Comedy,2017,3187255.0,2018-03-09
My Friend Dahmer,Biography,2017,1436751.0,2018-03-02
Death Wish,Action,2018,49562710.0,2018-03-02
Red Sparrow,Action,2018,151572634.0,2018-03-02
Game Night,Action,2018,117679066.0,2018-02-23
Every Day,Drama,2018,10421847.0,2018-02-23
Annihilation,Adventure,2018,43070915.0,2018-02-23
This Beautiful Fantastic,Comedy,2016,353808.0,2018-02-19
Black Panther,Action,2018,1347597973.0,2018-02-16
Early Man,Animation,2018,54622814.0,2018-02-16
Fifty Shades Freed,Drama,2018,371987838.0,2018-02-09
The 15:17 to Paris,Biography,2018,57076286.0,2018-02-09
Peter Rabbit,Animation,2018,351496066.0,2018-02-09
Winchester,Biography,2018,44019588.0,2018-02-02
Journey's End,Drama,2017,970809.0,2018-02-02
Maze Runner: The Death Cure,Action,2018,288175335.0,2018-01-26
Hostiles,Drama,2017,35669017.0,2018-01-26
Padmaavat,Drama,2018,60508780.0,2018-01-25
Phantom Thread,Drama,2017,47756590.0,2018-01-19
"I, Tonya",Biography,2017,53939297.0,2018-01-19
Call Me by Your Name,Drama,2017,41888660.0,2018-01-19
12 Strong,Action,2018,67450815.0,2018-01-19
Den of Thieves,Action,2018,80509622.0,2018-01-19
Gook,Drama,2017,251541.0,2018-01-19
Forever My Girl,Comedy,2018,16376066.0,2018-01-19
Paddington 2,Animation,2017,227978645.0,2018-01-12
The Post,Drama,2017,180419231.0,2018-01-12
The Commuter,Action,2018,119942387.0,2018-01-12
Insidious: The Last Key,Horror,2018,167885588.0,2018-01-05
Molly's Game,Biography,2017,59284015.0,2018-01-05
The Leisure Seeker,Adventure,2017,10472180.0,2018-01-03
In the Fade,Crime,2017,5104991.0,2017-12-27
All the Money in the World,Biography,2017,56996304.0,2017-12-25
Pitch Perfect 3,Comedy,2017,185400345.0,2017-12-22
Darkest Hour,Biography,2017,150847274.0,2017-12-22
Father Figures,Comedy,2017,25601244.0,2017-12-22
Downsizing,Drama,2017,55003890.0,2017-12-22
The Shape of Water,Adventure,2017,195333312.0,2017-12-22
The Greatest Showman,Biography,2017,438006904.0,2017-12-20
Jumanji: Welcome to the Jungle,Action,2017,962542945.0,2017-12-20
Along With the Gods: The Two Worlds,Action,2017,109383972.0,2017-12-20
Ferdinand,Animation,2017,296069199.0,2017-12-15
Wonder Wheel,Drama,2017,15889124.0,2017-12-15
Star Wars: Episode VIII - The Last Jedi,Action,2017,1332698830.0,2017-12-15
The Disaster Artist,Biography,2017,29820616.0,2017-12-08
"Three Billboards Outside Ebbing, Missouri",Comedy,2017,160192267.0,2017-12-01
Lady Bird,Comedy,2017,78966486.0,2017-12-01
Sweet Virginia,Action,2017,14725.0,2017-11-30
Beach Rats,Drama,2017,486623.0,2017-11-22
Coco,Animation,2017,807817888.0,2017-11-22
"Roman J. Israel, Esq.",Crime,2017,13025860.0,2017-11-22
Wonder,Drama,2017,306209289.0,2017-11-17
Justice League,Action,2017,657926987.0,2017-11-17
Daddy's Home 2,Comedy,2017,180613824.0,2017-11-10
The Florida Project,Drama,2017,10971298.0,2017-11-10
Murder on the Orient Express,Crime,2017,352794081.0,2017-11-10
Better Watch Out,Comedy,2016,176288.0,2017-11-09
The Killing of a Sacred Deer,Drama,2017,7027336.0,2017-11-03
Blade of the Immortal,Action,2017,7162617.0,2017-11-03
Last Flag Flying,Comedy,2017,1872950.0,2017-11-03
Thor: Ragnarok,Action,2017,853983911.0,2017-11-03
Jeepers Creepers III,Horror,2017,4017852.0,2017-11-02
A Bad Moms Christmas,Comedy,2017,130560428.0,2017-11-01
All I See Is You,Drama,2016,678150.0,2017-10-27
Breathe,Biography,2017,5026154.0,2017-10-27
Jigsaw,Crime,2017,102952888.0,2017-10-27
Suburbicon,Comedy,2017,12751667.0,2017-10-27
The Snowman,Crime,2017,43155261.0,2017-10-20
Same Kind of Different as Me,Biography,2017,6423605.0,2017-10-20
BPM (Beats Per Minute),Drama,2017,7704369.0,2017-10-20
Wonderstruck,Adventure,2017,3285916.0,2017-10-20
Geostorm,Action,2017,221600160.0,2017-10-20
Only the Brave,Action,2017,26351322.0,2017-10-20
Professor Marston & the Wonder Women,Biography,2017,1899615.0,2017-10-13
Marshall,Biography,2017,10116816.0,2017-10-13
American Satan,Drama,2017,237708.0,2017-10-13
The Foreigner,Action,2017,145418070.0,2017-10-13
Happy Death Day,Comedy,2017,125479266.0,2017-10-13
Amityville: The Awakening,Horror,2017,8481997.0,2017-10-12
Blade Runner 2049,Action,2017,259334548.0,2017-10-06
The Mountain Between Us,Action,2017,62832209.0,2017-10-06
My Little Pony: The Movie,Animation,2017,60330833.0,2017-10-06
Victoria & Abdul,Biography,2017,66558465.0,2017-10-06
American Made,Action,2017,134866593.0,2017-09-29
Flatliners,Drama,2017,45158254.0,2017-09-29
Stronger,Biography,2017,8503658.0,2017-09-29
Battle of the Sexes,Biography,2017,18598607.0,2017-09-29
Super Dark Times,Crime,2017,33109.0,2017-09-29
Goodbye Christopher Robin,Biography,2017,7401949.0,2017-09-29
